Option,Species,iter,Month,Estimate,Season,Site,Parc,Espece
Option 2,European Shag,12,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,12,12,0.0529905442014995,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,13,12,0.0476955058053189,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,1,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,2,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,3,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,4,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,5,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,6,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,7,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,8,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,9,0,Breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,10,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
Option 2,European Shag,14,11,0,Non-breeding,SNA,SAINT NAZAIRE,Cormoran huppé
